sex,eye_color,hair_color,skin_tone,face_width,face_height,jaw_shape,chin_prominence,cheekbone_height,nose_size,nose_width,nose_bridge_width,nose_bridge_height,nostril_width,eye_distance,eye_size,eye_shape,eyebrow_thickness,eyebrow_arch,lip_thickness,mouth_width,philtrum_depth,hair_texture,hair_thickness,hairline_shape,freckling,tanning_ability,ear_size,earlobe_attachment,overall_confidence,sample_id
male,green,brown,light,wide,medium,square,medium,high,medium,medium,wide,flat,medium,wide,small,round,medium,flat,thin,wide,medium,straight,fine,rounded,some,never_burns,large,free,0.8542410456683845,SYNTH_002806
male,blue,black,very_light,wide,medium,square,medium,medium,medium,medium,medium,medium,wide,normal,medium,hooded,thick,flat,full,wide,medium,straight,medium,widow_peak,extensive,burns_easily,large,attached,0.8687440994848858,SYNTH_002807
male,blue,brown,very_light,narrow,medium,square,medium,medium,large,wide,medium,medium,medium,wide,medium,round,thick,slight,full,wide,medium,wavy,medium,widow_peak,none,never_burns,medium,attached,0.8784228672432791,SYNTH_002808
female,green,brown,very_light,wide,long,square,medium,high,small,medium,wide,medium,wide,wide,medium,round,thick,slight,full,wide,deep,curly,medium,widow_peak,extensive,burns_easily,large,attached,0.8796634744249684,SYNTH_002809
female,blue,brown,very_light,medium,medium,square,medium,low,medium,wide,medium,flat,medium,wide,large,almond,thick,slight,full,wide,shallow,wavy,fine,widow_peak,some,never_burns,medium,attached,0.8189508294956342,SYNTH_002810
male,brown,brown,light,wide,long,oval,medium,medium,medium,wide,medium,flat,narrow,normal,large,round,thick,high,full,wide,medium,straight,thick,straight,none,burns_easily,medium,attached,0.8642050808388786,SYNTH_002811
male,blue,brown,very_light,wide,long,square,prominent,medium,medium,wide,medium,high,medium,normal,medium,hooded,medium,slight,full,wide,medium,wavy,medium,widow_peak,extensive,burns_easily,medium,attached,0.8702323088801579,SYNTH_002812
female,blue,brown,light,medium,medium,square,receding,high,large,narrow,narrow,flat,medium,normal,large,almond,thick,slight,full,narrow,deep,straight,thick,rounded,some,never_burns,large,free,0.8680466519798457,SYNTH_002813
male,blue,brown,dark,medium,medium,square,medium,medium,medium,medium,medium,high,medium,normal,large,hooded,thick,slight,full,wide,deep,curly,medium,rounded,some,burns_easily,large,attached,0.855303909698092,SYNTH_002814
female,blue,brown,very_light,medium,medium,oval,medium,low,medium,wide,wide,high,medium,wide,large,almond,thick,slight,full,wide,medium,straight,medium,rounded,some,never_burns,large,attached,0.8577823706074662,SYNTH_002815
male,blue,blonde,light,medium,long,oval,medium,high,medium,medium,narrow,medium,wide,normal,medium,hooded,thick,slight,full,wide,shallow,wavy,thick,widow_peak,some,tans_gradually,medium,free,0.8795658379720995,SYNTH_002816
female,blue,brown,light,wide,long,square,prominent,low,medium,narrow,wide,medium,medium,normal,medium,hooded,thick,flat,very_full,wide,medium,straight,medium,rounded,none,burns_easily,large,free,0.7882071986657221,SYNTH_002817
female,blue,brown,light,medium,short,oval,medium,medium,medium,wide,medium,medium,wide,normal,large,almond,thick,high,full,wide,deep,wavy,medium,straight,extensive,burns_easily,medium,free,0.8472391687909993,SYNTH_002818
male,green,brown,very_light,medium,short,oval,medium,medium,medium,medium,wide,high,medium,normal,medium,almond,thick,slight,very_full,wide,medium,curly,medium,rounded,some,never_burns,large,attached,0.8450103185774333,SYNTH_002819
female,green,blonde,light,wide,medium,square,medium,low,small,wide,narrow,high,medium,wide,medium,almond,thick,slight,full,medium,medium,wavy,thick,rounded,some,burns_easily,medium,free,0.8798330085215332,SYNTH_002820
female,blue,blonde,very_light,wide,medium,oval,medium,medium,medium,medium,narrow,high,wide,wide,large,round,thick,slight,very_full,wide,shallow,straight,thick,widow_peak,some,tans_gradually,large,attached,0.8522006917853091,SYNTH_002821
male,blue,brown,very_light,medium,long,square,medium,low,medium,narrow,medium,medium,medium,wide,medium,almond,thick,flat,thin,wide,deep,wavy,thick,widow_peak,some,burns_easily,medium,attached,0.8254341533399836,SYNTH_002822
female,blue,blonde,very_light,medium,short,square,receding,low,large,medium,narrow,medium,medium,normal,medium,round,thick,high,full,narrow,medium,straight,medium,straight,none,tans_gradually,large,free,0.8308277113959353,SYNTH_002823
female,blue,brown,very_light,medium,medium,oval,prominent,medium,medium,narrow,narrow,medium,narrow,normal,medium,almond,medium,flat,full,wide,medium,straight,medium,widow_peak,extensive,never_burns,large,attached,0.8580884862839752,SYNTH_002824
female,green,brown,very_light,wide,medium,square,prominent,medium,large,wide,medium,medium,narrow,wide,medium,round,thick,high,full,wide,medium,straight,fine,widow_peak,extensive,tans_gradually,medium,attached,0.8576001193158842,SYNTH_002825
female,green,blonde,very_light,narrow,medium,square,prominent,medium,medium,wide,wide,flat,medium,wide,large,round,thick,slight,full,wide,deep,straight,medium,rounded,some,never_burns,large,free,0.8262705534738075,SYNTH_002826
male,blue,brown,very_light,wide,medium,square,prominent,medium,large,medium,wide,flat,medium,wide,medium,hooded,thick,slight,full,wide,medium,curly,medium,straight,extensive,tans_gradually,small,free,0.8933631257740713,SYNTH_002827
male,blue,brown,light,medium,medium,square,medium,medium,medium,narrow,narrow,medium,medium,normal,small,almond,medium,high,very_full,wide,medium,curly,medium,rounded,some,tans_gradually,small,free,0.8868298019413514,SYNTH_002828
female,green,brown,very_light,medium,short,square,receding,low,medium,medium,narrow,medium,medium,wide,small,almond,thick,high,thin,medium,medium,wavy,thick,widow_peak,some,tans_gradually,large,free,0.8570785227755523,SYNTH_002829
female,blue,brown,very_light,medium,long,square,receding,high,medium,wide,medium,high,wide,close,large,almond,thick,slight,very_full,wide,deep,wavy,medium,rounded,extensive,tans_gradually,large,free,0.8550694727571345,SYNTH_002830
male,blue,black,very_light,wide,medium,square,receding,high,large,medium,medium,medium,wide,wide,large,round,medium,high,thin,wide,medium,wavy,medium,straight,extensive,burns_easily,medium,attached,0.8370146267718067,SYNTH_002831
male,blue,brown,very_light,narrow,medium,oval,medium,high,small,narrow,medium,medium,narrow,wide,large,hooded,medium,high,very_full,wide,deep,curly,medium,rounded,extensive,tans_gradually,small,attached,0.8257763170310933,SYNTH_002832
male,green,brown,light,medium,medium,oval,prominent,medium,medium,wide,narrow,flat,wide,wide,medium,round,thick,slight,thin,medium,deep,wavy,medium,widow_peak,extensive,tans_gradually,large,attached,0.8663569882601069,SYNTH_002833
male,green,brown,dark,medium,short,oval,medium,medium,medium,narrow,medium,high,medium,wide,large,round,thick,slight,very_full,medium,medium,wavy,fine,rounded,none,tans_gradually,medium,attached,0.8412561533540209,SYNTH_002834
female,blue,brown,very_light,wide,medium,square,medium,medium,medium,wide,medium,medium,wide,normal,small,almond,thick,slight,very_full,wide,medium,wavy,fine,rounded,some,tans_gradually,medium,free,0.8172594425583456,SYNTH_002835
female,blue,brown,very_light,wide,long,square,medium,low,medium,medium,narrow,medium,medium,close,medium,round,thick,slight,very_full,medium,shallow,wavy,thick,rounded,some,tans_gradually,medium,attached,0.8602404046506106,SYNTH_002836
male,blue,red,very_light,narrow,medium,square,medium,medium,medium,narrow,narrow,flat,narrow,close,small,almond,thick,slight,full,medium,medium,wavy,fine,widow_peak,none,never_burns,large,free,0.8168749919705177,SYNTH_002837
female,blue,brown,very_light,medium,medium,square,receding,high,large,medium,medium,high,medium,wide,medium,almond,thick,high,thin,medium,medium,wavy,thick,widow_peak,none,tans_gradually,small,free,0.8589765111150542,SYNTH_002838
female,blue,brown,very_light,wide,long,square,medium,medium,small,medium,narrow,medium,medium,wide,medium,round,thick,slight,thin,wide,shallow,straight,medium,widow_peak,extensive,tans_gradually,large,free,0.8193766332001263,SYNTH_002839
male,green,brown,light,medium,short,square,medium,high,small,narrow,wide,flat,medium,normal,large,almond,thick,high,very_full,wide,shallow,straight,medium,rounded,some,tans_gradually,large,attached,0.8544636718308604,SYNTH_002840
male,blue,brown,very_light,wide,medium,square,medium,medium,medium,wide,wide,medium,wide,normal,medium,round,thick,high,full,medium,medium,curly,medium,rounded,none,tans_gradually,large,free,0.8786470770693623,SYNTH_002841
female,blue,black,very_light,narrow,short,oval,prominent,medium,medium,medium,medium,flat,wide,wide,large,hooded,thick,slight,full,wide,deep,wavy,thick,straight,some,burns_easily,medium,free,0.8309794147400459,SYNTH_002842
male,blue,brown,light,medium,medium,oval,prominent,medium,medium,wide,wide,medium,medium,normal,small,almond,medium,slight,full,wide,medium,wavy,thick,widow_peak,none,burns_easily,medium,free,0.8480382526111603,SYNTH_002843
female,green,black,very_light,narrow,medium,oval,prominent,medium,large,narrow,narrow,medium,narrow,normal,medium,hooded,thick,high,full,wide,shallow,straight,medium,rounded,extensive,tans_gradually,large,free,0.8328030564009857,SYNTH_002844
male,blue,brown,light,wide,long,oval,prominent,medium,medium,narrow,medium,flat,narrow,normal,small,almond,thick,high,very_full,wide,shallow,straight,medium,straight,extensive,never_burns,small,attached,0.8184012434967692,SYNTH_002845
female,blue,brown,light,wide,short,square,medium,low,medium,wide,medium,medium,narrow,normal,medium,almond,thick,flat,full,medium,shallow,straight,medium,widow_peak,extensive,never_burns,large,free,0.8972604493989925,SYNTH_002846
female,green,brown,light,medium,medium,oval,receding,medium,medium,medium,medium,medium,medium,wide,medium,round,thick,flat,very_full,wide,medium,wavy,fine,widow_peak,some,tans_gradually,medium,free,0.8606231210754816,SYNTH_002847
female,green,black,very_light,medium,long,oval,prominent,medium,large,wide,medium,flat,medium,normal,small,round,thick,high,thin,wide,deep,straight,medium,straight,some,burns_easily,medium,attached,0.8336384782890391,SYNTH_002848
female,green,brown,light,medium,medium,square,medium,medium,medium,medium,wide,medium,medium,normal,medium,round,thick,high,full,wide,medium,wavy,fine,rounded,extensive,never_burns,medium,free,0.8389751065456723,SYNTH_002849
female,blue,brown,very_light,wide,medium,square,medium,medium,medium,medium,medium,medium,medium,normal,medium,hooded,medium,slight,very_full,wide,shallow,wavy,medium,rounded,none,tans_gradually,medium,free,0.8030448200607205,SYNTH_002850
female,green,auburn,very_light,wide,medium,square,medium,medium,small,narrow,wide,medium,medium,normal,medium,hooded,thick,slight,full,wide,medium,wavy,thick,widow_peak,none,never_burns,large,attached,0.8604744277183574,SYNTH_002851
female,blue,black,light,wide,medium,square,medium,medium,medium,narrow,wide,flat,medium,wide,small,almond,thick,slight,thin,wide,shallow,wavy,medium,straight,some,never_burns,large,attached,0.8256763444178705,SYNTH_002852
female,green,brown,very_light,medium,long,square,receding,low,medium,medium,wide,high,wide,normal,medium,round,thick,slight,full,wide,medium,wavy,thick,straight,some,never_burns,medium,attached,0.8202054296963703,SYNTH_002853
male,blue,brown,light,wide,short,square,medium,low,small,wide,wide,flat,narrow,close,large,round,thick,high,full,wide,medium,wavy,thick,rounded,some,tans_gradually,medium,free,0.8531903344611346,SYNTH_002854
female,blue,brown,very_light,wide,medium,square,prominent,low,large,narrow,wide,flat,medium,wide,medium,almond,medium,slight,very_full,wide,deep,wavy,medium,rounded,some,never_burns,large,attached,0.8031830502926275,SYNTH_002855
female,green,brown,light,wide,long,square,prominent,medium,large,narrow,narrow,medium,medium,wide,small,almond,medium,slight,full,wide,medium,wavy,medium,widow_peak,some,never_burns,medium,free,0.8383221274938272,SYNTH_002856
male,green,brown,very_light,wide,medium,oval,receding,low,large,narrow,medium,medium,wide,wide,medium,round,medium,slight,very_full,wide,deep,wavy,medium,widow_peak,some,tans_gradually,large,attached,0.8289544459949983,SYNTH_002857
male,blue,brown,very_light,wide,long,oval,medium,low,small,wide,wide,high,medium,normal,small,round,medium,slight,full,medium,shallow,curly,thick,widow_peak,extensive,tans_gradually,medium,attached,0.8725898059375196,SYNTH_002858
male,blue,black,very_light,wide,medium,square,prominent,low,medium,wide,medium,medium,wide,wide,small,round,thick,high,full,medium,medium,wavy,medium,widow_peak,none,burns_easily,medium,attached,0.8482694196117099,SYNTH_002859
male,green,brown,very_light,medium,long,square,medium,high,medium,medium,narrow,medium,wide,wide,small,round,thick,slight,full,wide,medium,straight,fine,rounded,extensive,never_burns,large,attached,0.8237183102584311,SYNTH_002860
male,blue,brown,very_light,wide,medium,oval,medium,medium,small,narrow,medium,medium,medium,close,medium,round,thick,flat,full,medium,deep,wavy,fine,widow_peak,some,tans_gradually,medium,attached,0.8477880474429224,SYNTH_002861
female,blue,brown,very_light,wide,short,square,prominent,medium,medium,wide,medium,medium,narrow,wide,medium,round,thick,slight,full,wide,medium,wavy,medium,straight,some,tans_gradually,large,free,0.8568792274326602,SYNTH_002862
female,blue,brown,light,wide,medium,square,medium,medium,medium,medium,medium,flat,narrow,wide,medium,round,thick,high,full,wide,medium,wavy,fine,widow_peak,none,never_burns,small,attached,0.8631842437524676,SYNTH_002863
male,blue,brown,very_light,wide,medium,square,receding,medium,small,medium,wide,high,narrow,wide,medium,round,medium,slight,very_full,wide,medium,wavy,medium,rounded,some,burns_easily,small,attached,0.8418129975260509,SYNTH_002864
male,blue,black,very_light,medium,medium,square,medium,medium,medium,medium,medium,medium,medium,wide,medium,round,thin,slight,very_full,medium,medium,curly,thick,straight,none,burns_easily,small,free,0.803232376454366,SYNTH_002865
male,blue,brown,very_light,wide,medium,square,receding,medium,medium,narrow,narrow,high,narrow,normal,medium,round,thick,flat,full,medium,deep,wavy,thick,rounded,none,burns_easily,large,free,0.901969732063409,SYNTH_002866
male,blue,brown,very_light,wide,medium,square,receding,high,large,medium,wide,high,narrow,wide,large,hooded,medium,flat,full,wide,medium,straight,thick,rounded,some,never_burns,medium,attached,0.8402018267419475,SYNTH_002867
female,blue,brown,light,wide,long,oval,receding,high,medium,narrow,medium,high,medium,wide,large,round,thick,high,very_full,medium,medium,curly,fine,rounded,some,burns_easily,medium,attached,0.8677967101854691,SYNTH_002868
male,blue,black,light,medium,short,square,prominent,high,medium,narrow,medium,medium,narrow,wide,small,almond,thick,high,very_full,wide,shallow,straight,medium,widow_peak,some,burns_easily,large,attached,0.8239301757174308,SYNTH_002869
female,brown,auburn,light,wide,long,oval,prominent,medium,large,narrow,medium,high,narrow,wide,small,hooded,thick,high,full,wide,medium,straight,thick,straight,none,tans_gradually,large,attached,0.8458411912806095,SYNTH_002870
male,blue,blonde,very_light,wide,medium,oval,prominent,medium,medium,medium,medium,medium,wide,wide,small,round,thick,slight,thin,narrow,medium,straight,thick,widow_peak,extensive,tans_gradually,large,attached,0.851798170330156,SYNTH_002871
female,blue,brown,very_light,wide,long,oval,prominent,medium,medium,medium,medium,flat,wide,wide,medium,almond,medium,high,thin,wide,medium,wavy,medium,straight,none,never_burns,medium,free,0.8348209858810131,SYNTH_002872
female,blue,brown,very_light,wide,medium,square,prominent,medium,small,medium,medium,high,medium,normal,medium,hooded,thick,slight,full,wide,deep,straight,medium,widow_peak,none,burns_easily,medium,free,0.8875373746321609,SYNTH_002873
female,blue,black,very_light,medium,medium,oval,receding,high,small,wide,medium,medium,medium,wide,medium,round,thick,slight,very_full,wide,medium,straight,thick,rounded,some,tans_gradually,small,attached,0.8465131708753058,SYNTH_002874
male,blue,blonde,light,wide,short,square,prominent,medium,medium,medium,wide,medium,wide,wide,small,round,thick,high,full,wide,medium,straight,medium,widow_peak,extensive,tans_gradually,large,free,0.8431878467068902,SYNTH_002875
male,blue,blonde,very_light,narrow,long,square,medium,high,large,medium,medium,high,medium,wide,large,almond,thick,flat,very_full,wide,medium,wavy,fine,rounded,some,tans_gradually,medium,attached,0.8365774261620436,SYNTH_002876
female,blue,brown,very_light,medium,medium,square,medium,high,large,narrow,wide,flat,medium,wide,small,hooded,medium,high,full,medium,deep,wavy,fine,rounded,some,burns_easily,medium,attached,0.8565622758030005,SYNTH_002877
male,green,black,very_light,medium,long,square,medium,high,large,medium,medium,high,medium,normal,large,almond,medium,high,full,medium,medium,straight,medium,widow_peak,some,never_burns,large,attached,0.8231172534821001,SYNTH_002878
female,blue,brown,light,narrow,short,oval,medium,medium,large,wide,medium,flat,medium,normal,small,almond,thick,flat,thin,wide,medium,straight,fine,widow_peak,some,burns_easily,large,free,0.8338817946916063,SYNTH_002879
male,blue,blonde,very_light,wide,short,square,prominent,medium,small,medium,wide,medium,medium,normal,medium,hooded,medium,flat,thin,wide,medium,straight,medium,rounded,extensive,never_burns,large,free,0.8370217679659316,SYNTH_002880
female,blue,brown,light,wide,medium,square,receding,high,medium,medium,wide,flat,medium,normal,large,round,medium,slight,full,wide,medium,wavy,medium,widow_peak,extensive,never_burns,large,free,0.8891468112533072,SYNTH_002881
male,blue,brown,very_light,medium,long,square,prominent,low,medium,narrow,medium,high,medium,close,large,hooded,thick,high,very_full,narrow,medium,straight,medium,rounded,some,never_burns,medium,free,0.8758573424603255,SYNTH_002882
male,blue,brown,very_light,medium,medium,oval,medium,high,medium,medium,wide,high,medium,wide,medium,almond,medium,slight,full,medium,medium,straight,medium,straight,some,tans_gradually,large,attached,0.8286682338574364,SYNTH_002883
female,blue,brown,very_light,wide,long,square,prominent,medium,small,medium,wide,medium,medium,wide,large,hooded,medium,slight,full,wide,medium,curly,medium,rounded,extensive,tans_gradually,medium,attached,0.8446385851846224,SYNTH_002884
male,green,brown,very_light,medium,medium,oval,medium,high,medium,medium,medium,medium,narrow,normal,large,round,thick,high,full,medium,medium,curly,medium,rounded,none,tans_gradually,small,free,0.8632400037613894,SYNTH_002885
female,green,brown,very_light,wide,medium,oval,medium,medium,medium,medium,medium,high,narrow,normal,large,hooded,thick,slight,full,narrow,medium,wavy,thick,widow_peak,some,tans_gradually,small,free,0.8669213341406118,SYNTH_002886
male,blue,black,very_light,wide,short,oval,medium,medium,medium,medium,medium,medium,narrow,normal,large,almond,medium,slight,full,wide,shallow,curly,fine,rounded,some,never_burns,small,free,0.846725747785775,SYNTH_002887
male,green,brown,very_light,medium,long,square,medium,medium,medium,medium,medium,medium,medium,normal,small,almond,thick,flat,very_full,medium,deep,wavy,medium,rounded,some,never_burns,medium,free,0.8480795646825477,SYNTH_002888
male,blue,red,dark,wide,medium,oval,prominent,low,medium,medium,wide,high,wide,normal,medium,round,thick,high,full,medium,shallow,curly,thick,rounded,extensive,tans_gradually,large,free,0.8911857689128736,SYNTH_002889
female,blue,brown,very_light,wide,medium,square,prominent,low,large,wide,medium,medium,narrow,normal,medium,almond,thick,slight,full,wide,medium,curly,fine,rounded,extensive,tans_gradually,large,free,0.8384203659440935,SYNTH_002890
male,blue,black,very_light,medium,long,oval,medium,high,medium,wide,medium,medium,medium,wide,large,round,medium,flat,full,wide,deep,wavy,thick,rounded,none,burns_easily,large,free,0.8648291640156548,SYNTH_002891
male,green,blonde,very_light,wide,medium,square,receding,medium,small,wide,wide,medium,medium,normal,medium,hooded,thick,slight,full,wide,medium,straight,medium,rounded,some,never_burns,medium,attached,0.8429193182428731,SYNTH_002892
female,blue,brown,light,medium,medium,narrow,prominent,medium,large,wide,narrow,high,medium,wide,medium,almond,thick,flat,very_full,wide,medium,straight,medium,rounded,some,burns_easily,small,attached,0.8641536100614126,SYNTH_002893
female,blue,brown,very_light,wide,short,oval,prominent,medium,large,medium,wide,flat,narrow,normal,medium,almond,medium,slight,full,wide,medium,wavy,medium,rounded,none,never_burns,medium,free,0.8314131914896121,SYNTH_002894
male,green,black,very_light,wide,medium,oval,medium,medium,large,wide,narrow,medium,wide,wide,medium,hooded,thick,high,full,medium,medium,wavy,medium,widow_peak,some,never_burns,medium,free,0.8562366670403155,SYNTH_002895
female,blue,brown,light,medium,medium,square,receding,medium,large,medium,medium,high,medium,normal,large,almond,thick,high,very_full,narrow,deep,wavy,fine,widow_peak,extensive,never_burns,large,attached,0.8637595651400656,SYNTH_002896
female,green,brown,light,wide,short,oval,prominent,low,large,medium,medium,high,wide,wide,medium,round,medium,high,full,wide,medium,wavy,thick,straight,none,burns_easily,large,free,0.8590258338563528,SYNTH_002897
male,green,brown,very_light,wide,short,oval,medium,high,medium,medium,wide,high,wide,wide,large,round,medium,slight,full,wide,deep,curly,thick,straight,extensive,tans_gradually,medium,attached,0.8500260514373666,SYNTH_002898
male,blue,brown,light,narrow,long,oval,medium,medium,large,medium,narrow,medium,wide,wide,large,round,thick,high,very_full,wide,medium,wavy,medium,rounded,none,tans_gradually,medium,attached,0.8142885854028465,SYNTH_002899
female,blue,brown,very_light,narrow,medium,oval,prominent,medium,medium,narrow,medium,medium,medium,normal,medium,round,medium,high,full,wide,medium,straight,fine,rounded,some,tans_gradually,large,free,0.8655857618695041,SYNTH_002900
female,blue,brown,very_light,wide,short,square,prominent,high,large,medium,medium,flat,narrow,wide,medium,round,thick,high,full,wide,medium,wavy,thick,straight,extensive,tans_gradually,large,free,0.85049071817838,SYNTH_002901
female,blue,black,light,wide,long,oval,receding,medium,small,medium,wide,flat,wide,normal,medium,hooded,thick,slight,full,wide,medium,wavy,medium,widow_peak,none,tans_gradually,medium,free,0.8527848515892397,SYNTH_002902
male,blue,brown,very_light,medium,medium,oval,prominent,medium,medium,wide,wide,flat,medium,wide,medium,almond,thick,flat,very_full,wide,medium,straight,medium,widow_peak,some,never_burns,large,free,0.8502758016871169,SYNTH_002903
female,green,brown,very_light,medium,short,square,prominent,low,small,medium,medium,high,wide,wide,small,almond,thick,high,thin,wide,shallow,curly,thick,rounded,some,tans_gradually,large,attached,0.8374504352625886,SYNTH_002904
male,blue,brown,very_light,wide,medium,oval,receding,low,medium,medium,medium,flat,wide,wide,large,round,medium,slight,full,wide,medium,wavy,medium,rounded,some,never_burns,medium,attached,0.858290080162384,SYNTH_002905
male,blue,auburn,light,wide,long,narrow,prominent,low,small,wide,medium,medium,medium,normal,large,round,medium,high,full,wide,medium,straight,fine,widow_peak,none,tans_gradually,medium,attached,0.7961171058422384,SYNTH_002906
male,blue,brown,light,medium,medium,square,medium,low,small,wide,medium,medium,wide,wide,medium,almond,thick,flat,very_full,medium,deep,straight,fine,widow_peak,extensive,tans_gradually,medium,free,0.8008625760751978,SYNTH_002907
female,blue,brown,very_light,wide,medium,square,medium,medium,medium,wide,medium,high,medium,wide,medium,almond,thick,slight,very_full,medium,medium,straight,thick,widow_peak,some,burns_easily,large,free,0.8545238339457494,SYNTH_002908
male,brown,brown,light,wide,medium,square,receding,low,medium,medium,narrow,high,narrow,wide,medium,almond,thick,high,very_full,wide,deep,straight,thick,rounded,some,never_burns,small,attached,0.8856872450857413,SYNTH_002909
male,blue,brown,very_light,medium,medium,square,prominent,medium,medium,medium,medium,medium,wide,wide,medium,hooded,medium,slight,full,medium,deep,straight,medium,rounded,some,burns_easily,small,free,0.8680987281751488,SYNTH_002910
male,green,brown,very_light,medium,medium,oval,medium,medium,medium,narrow,medium,medium,narrow,normal,small,hooded,medium,high,full,wide,deep,wavy,medium,rounded,some,never_burns,medium,attached,0.8400785677748577,SYNTH_002911
female,blue,brown,light,medium,medium,square,medium,high,large,wide,wide,medium,narrow,wide,medium,hooded,medium,high,full,wide,medium,curly,thick,rounded,some,burns_easily,large,free,0.8436715139907548,SYNTH_002912
male,blue,brown,very_light,wide,long,square,medium,medium,large,wide,wide,high,medium,normal,small,almond,thick,flat,very_full,wide,deep,straight,medium,rounded,some,tans_gradually,small,free,0.8645111588905501,SYNTH_002913
female,blue,brown,very_light,medium,medium,oval,medium,medium,medium,wide,narrow,medium,narrow,wide,medium,almond,thick,high,very_full,medium,medium,wavy,medium,rounded,some,tans_gradually,large,free,0.8686015465012138,SYNTH_002914
female,blue,brown,very_light,narrow,medium,square,medium,high,medium,medium,medium,high,wide,wide,medium,hooded,thick,slight,full,wide,medium,wavy,thick,rounded,some,tans_gradually,large,free,0.8570940994582065,SYNTH_002915
female,blue,brown,light,wide,medium,oval,medium,high,large,medium,wide,high,medium,wide,medium,round,thick,high,full,wide,shallow,straight,medium,rounded,extensive,tans_gradually,medium,free,0.8378810515258193,SYNTH_002916
male,blue,black,very_light,medium,long,oval,medium,medium,large,wide,narrow,medium,wide,wide,medium,round,medium,flat,full,wide,shallow,straight,medium,widow_peak,extensive,tans_gradually,medium,free,0.8681345812246837,SYNTH_002917
male,green,brown,very_light,wide,medium,narrow,prominent,high,large,narrow,medium,medium,narrow,normal,medium,round,thick,slight,full,medium,medium,straight,medium,rounded,none,never_burns,large,free,0.8470176788986109,SYNTH_002918
male,blue,brown,very_light,medium,short,square,prominent,high,medium,narrow,narrow,flat,wide,normal,medium,almond,thick,slight,full,wide,deep,wavy,fine,widow_peak,none,never_burns,large,free,0.8534389593862047,SYNTH_002919
male,blue,black,light,wide,long,oval,medium,high,medium,medium,medium,high,medium,normal,medium,almond,thick,high,very_full,medium,deep,wavy,thick,rounded,extensive,never_burns,medium,attached,0.8532934189904484,SYNTH_002920
female,blue,black,very_light,medium,medium,square,medium,medium,small,medium,medium,medium,medium,wide,large,round,medium,slight,full,wide,deep,wavy,fine,widow_peak,extensive,burns_easily,large,attached,0.8199706507114373,SYNTH_002921
male,brown,brown,very_light,medium,medium,square,prominent,high,medium,wide,narrow,medium,medium,normal,small,hooded,thick,slight,very_full,wide,medium,straight,fine,widow_peak,none,never_burns,large,free,0.7914948945763688,SYNTH_002922
female,green,brown,light,wide,long,narrow,medium,medium,medium,narrow,wide,medium,narrow,wide,large,hooded,thick,high,very_full,wide,medium,straight,medium,widow_peak,some,never_burns,medium,free,0.8296176966274341,SYNTH_002923
male,blue,brown,light,wide,medium,square,medium,medium,medium,medium,medium,flat,medium,wide,medium,almond,medium,slight,full,wide,shallow,straight,medium,straight,some,never_burns,medium,free,0.8313946048199716,SYNTH_002924
male,blue,blonde,light,wide,short,square,prominent,medium,medium,narrow,wide,medium,medium,wide,medium,almond,thin,slight,full,wide,deep,wavy,thick,rounded,none,tans_gradually,large,free,0.8335047561967321,SYNTH_002925
male,blue,brown,dark,wide,medium,square,medium,medium,medium,medium,narrow,medium,medium,normal,small,almond,thick,high,thin,wide,medium,straight,medium,rounded,some,burns_easily,medium,attached,0.84969032159344,SYNTH_002926
male,green,brown,very_light,wide,long,square,medium,high,medium,medium,narrow,high,medium,wide,medium,almond,thick,slight,very_full,wide,deep,straight,medium,rounded,some,tans_gradually,large,free,0.865177197181388,SYNTH_002927
female,green,brown,light,wide,medium,square,medium,high,large,medium,wide,high,medium,wide,large,almond,thick,slight,full,wide,shallow,wavy,medium,widow_peak,none,burns_easily,medium,attached,0.8463656028428617,SYNTH_002928
female,brown,blonde,very_light,wide,medium,oval,prominent,low,large,narrow,wide,high,narrow,wide,small,almond,thick,high,full,wide,deep,wavy,medium,rounded,extensive,never_burns,large,attached,0.8011358001189137,SYNTH_002929
male,blue,brown,light,wide,long,square,medium,medium,medium,narrow,medium,medium,medium,wide,medium,round,thick,slight,full,medium,medium,wavy,thick,straight,none,burns_easily,large,attached,0.8885310055407432,SYNTH_002930
male,blue,brown,very_light,medium,short,square,receding,medium,large,medium,wide,medium,medium,wide,small,hooded,thick,slight,very_full,wide,deep,wavy,medium,straight,some,burns_easily,large,free,0.8455978304123256,SYNTH_002931
female,blue,black,light,wide,medium,oval,prominent,high,large,medium,medium,flat,medium,wide,medium,round,thick,slight,very_full,wide,medium,wavy,thick,rounded,some,never_burns,medium,free,0.8377233658325735,SYNTH_002932
male,blue,brown,very_light,wide,long,square,medium,medium,small,medium,medium,high,wide,wide,medium,hooded,medium,high,full,wide,medium,wavy,thick,widow_peak,some,tans_gradually,large,free,0.787982014014308,SYNTH_002933
male,blue,brown,light,wide,medium,square,medium,low,medium,medium,narrow,high,wide,normal,medium,round,medium,flat,full,wide,medium,wavy,fine,rounded,some,burns_easily,large,attached,0.8530177493323062,SYNTH_002934
male,blue,brown,very_light,medium,short,oval,prominent,medium,medium,medium,wide,flat,medium,wide,large,almond,thick,high,full,wide,shallow,straight,medium,widow_peak,some,tans_gradually,small,attached,0.8348280251460334,SYNTH_002935
male,green,brown,light,wide,short,square,medium,medium,small,narrow,medium,medium,medium,normal,large,almond,thick,slight,very_full,wide,deep,wavy,medium,rounded,none,never_burns,medium,attached,0.8671619039300539,SYNTH_002936
